"default","fitted2009"
61.77,64.3413501543551
61.77,60.2613470377852
1.0815e+11,105597716057.247
1.0815e+11,107943891472.932
0.000414,0.000378981341565656
5e-04,0.000466500522153089
5e-04,0.000486085165328336
50,48.8137591506018
27.6,28.0897389997
10,9.80388552630569
3,2.85717831650842
0.0025,0.00246766722424667
0.3,0.289955018042339
0.001,0.000988870450524585
0.00015,0.000150496216739791
0.31,0.299595251421006
0.5,0.508531920004333
0.5,0.481045148509146
0.5,0.49101177927437
0.5,0.493381458516761
0.121,0.115473482406968
1.67,1.63155073368955
3.17,3.13540523153298
0.209,0.202587071980532
0.8,0.757439560187534
2.52,2.50156947986379
0,1.9259387398377
1,9.77450422872289
0.5,0.492526227563312
