"doytime","data","damm","arrhenius"
113,NA,39.1776922732996,38.1640639101158
113.020833333333,NA,39.1776922732996,38.1640639101158
113.208333333333,42.51,38.8777531937314,37.8920715138543
113.229166666667,NA,39.4066640551926,38.5479298698974
113.25,18.63,39.5877035520957,38.8243330171611
113.270833333333,26.8,38.7215152372791,37.9463241579916
113.291666666667,NA,38.3756877819411,37.679935756488
113.3125,NA,38.199707630318,37.6136131795494
113.333333333333,NA,38.0238563491203,37.5474000745489
113.354166666667,NA,37.8481367658282,37.4812962731865
113.375,NA,37.6725517141648,37.415301607402
113.395833333333,NA,37.4971040339917,37.3494159093731
113.041666666667,NA,39.1776922732996,38.1640639101158
113.416666666667,22.16,37.159115413292,37.0869594467091
113.4375,37.41,36.3437653913792,36.2458696398299
113.458333333333,24.2,35.6296800618035,35.5246220693234
113.479166666667,NA,35.178624590316,35.118545949198
113.0625,NA,39.1776922732996,38.1640639101158
113.083333333333,NA,39.1776922732996,38.1640639101158
113.104166666667,NA,39.1776922732996,38.1640639101158
113.125,NA,39.1776922732996,38.1640639101158
113.145833333333,NA,39.1776922732996,38.1640639101158
113.166666666667,NA,39.1776922732996,38.1640639101158
113.1875,17.99,39.1776922732996,38.1640639101158
114,NA,34.7328188300484,34.7168259393208
114.020833333333,NA,34.2922072867761,34.319418480476
114.208333333333,NA,39.8458264028412,40.4068462449264
114.229166666667,24.4,41.6399275407942,42.289418761636
114.25,31.25,41.6399275407942,42.289418761636
114.270833333333,51.71,40.5099674893335,41.1034088496075
114.291666666667,33.81,43.271466156194,44.0038096373767
114.3125,34.84,41.6399275407942,42.289418761636
114.333333333333,41.3,41.5905362257385,42.5304379871024
114.354166666667,43.88,42.2815230876342,43.2612445251232
114.375,34.695,42.7481299930286,43.7549706145558
114.395833333333,29.25,42.2815230876342,43.2612445251232
114.041666666667,29.42,33.8706128716885,33.9262804160344
114.416666666667,33.26,41.362564274547,42.289418761636
114.4375,26.95,40.8582059203719,42.0496803743322
114.458333333333,19.9,39.5306496045557,40.6377946584554
114.479166666667,21.93,39.9686184113067,41.1034088496075
114.0625,20.8,33.4950227490516,33.5373689885565
114.083333333333,28.82,33.2158917009598,33.2484336505005
114.104166666667,35.8,33.5542524562856,33.8286579734393
114.125,NA,34.0818252429911,34.3787563752974
114.145833333333,NA,34.5401980111699,34.8569351689453
114.166666666667,15.48,35.4086763787139,35.7635289485287
114.1875,NA,37.5660090993542,38.0187743181964
115,NA,39.5306496045557,40.6377946584554
115.020833333333,25.41,39.2051233833129,40.2918340181135
115.208333333333,58.68,45.032550809961,46.830018950472
115.229166666667,134.28,48.251194223914,50.2949228093683
115.25,38.75,48.9556538015846,51.0543475688452
115.270833333333,29.34,47.5562210930574,49.5460935739376
115.291666666667,89.49,51.0349101287023,53.2979829289876
115.3125,52.205,50.2116466910073,52.4092565523012
115.333333333333,45.74,49.9399960661862,52.1161134328588
115.354166666667,77.845,51.0349101287023,53.2979829289876
115.375,40.225,51.3121235937786,53.5973494040908
115.395833333333,54.57,51.0349101287023,53.2979829289876
115.041666666667,27.055,38.8821059594184,39.9486360855266
115.416666666667,49.85,50.6091564926227,52.9012642687555
115.4375,49.14,50.0124699426121,52.5073137638288
115.458333333333,30.62,49.5942956784377,52.1161134328588
115.479166666667,40.23,49.3258904225262,51.8245072301898
115.0625,29.755,38.0328551560327,39.0467923039822
115.083333333333,20.66,37.8232705456081,38.8243330171611
115.104166666667,29.9,38.9895007901009,40.0627297005505
115.125,37.045,40.1349364556532,41.5740207849851
115.145833333333,28.94,39.0446688878729,40.4068462449264
115.166666666667,30.42,40.8026970480753,42.289418761636
115.1875,NA,42.6345466479607,44.2539746967004
116,NA,48.2657907818306,50.673302076867
116.020833333333,37.26,47.2270219467472,49.5460935739376
116.208333333333,25.62,53.0188761091876,55.8413266018843
116.229166666667,90.02,56.9690579954364,60.1484188697646
116.25,44.38,56.3672068158755,59.925875254791
116.270833333333,51.43,59.7956475227807,63.6983798479981
116.291666666667,38.17,58.057781449476,61.7851633613518
116.3125,48.765,58.8417850704924,62.6480354434184
116.333333333333,61.925,57.5920764120599,61.2727967559561
116.354166666667,51.105,58.2137968895313,61.9568421257691
116.375,60.825,58.2137968895313,61.9568421257691
116.395833333333,48.75,58.5270038688107,62.3015409668604
116.041666666667,51.795,48.7931490497536,51.2458756057056
116.416666666667,46.56,57.4638758156889,61.1877902413724
